I1,I2,I3,I4,I5,I6,I7,I8,I10,Durable_Solutions,DS,DS_perc
I1_sec_rep,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_overcrowd,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,32651.073147621493,0.25231593398132723
I1_SDG_16.1.4,I2_DS_1.4.1,I3_DS_2.1.2,I4_land_tenure,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_poor125,I10_DS_5.1.1,,24426.776402689375,0.18876148034499088
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_toilet,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_consume,I10_DS_5.1.1,,24282.72320577029,0.18764828823766552
I1_sec_formal,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_water,I5_DS_2.1.8,I6_edu_dist,I7_SDG_8.5.2,I8_SDG_1.2.1,I10_DS_5.1.1,,25180.184702898514,0.1945835529634647
I1_sec_night,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_permanent,I5_DS_2.1.8,I6_edu_satis,I7_SDG_8.5.2,I8_poor31,I10_DS_5.1.1,,24875.698627333666,0.1922305923672507
I1_sec_eff,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_ownrent,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_foodtotal,I10_DS_5.1.1,,23968.702483795958,0.18522164726950438
I1_sec_easy,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_permanent,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_poor125,I10_DS_5.1.1,,27129.316459803475,0.20964575313901898
I1_sec_saf,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_squat,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_market_dist,I10_DS_5.1.1,,26652.853725276294,0.20596381780641934
I1_sec_inc,I2_DS_1.4.1,I3_DS_2.1.2,I4_land_tenure,I5_DS_2.1.8,I6_SDG_4.1.2,I7_SDG_8.5.2,I8_market_dist,I10_DS_5.1.1,,31130.2521647957,0.2405635678350389
I1_sec_eff,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_water,I5_med_dist,I6_edu_dist,I7_SDG_8.5.2,I8_poor31,I10_DS_5.1.1,,33481.45286442419,0.25873281445741303
I1_sec_formal,I2_DS_1.4.1,I3_DS_2.1.2,I4_hous_indurable,I5_DS_2.1.8,I6_edu_dist,I7_SDG_8.5.2,I8_bank,I10_DS_5.1.1,,21585.39739189545,0.16680430926941678
